Date,Pptn,Temp,Wind_speed,PET,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,PTI,Biovolume,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
1980-01-01,0.0,-4.75827816,2.9,0.0,4.252,,,,,,,,0,0,False,False,False,False,True
1980-01-02,0.0,-8.821736496,3.1,0.0,5.544,,,,,,,,0,0,False,False,False,False,True
1980-01-03,0.0,-15.28071907,1.5,0.0,8.203,,,,,,,,0,0,True,True,False,False,True
1980-01-04,2.669135785,-12.96506568,1.7,0.0,10.460999999999999,,,,,,,,1,0,True,True,False,False,True
1980-01-05,2.806878307,-5.304252851,1.5,0.0,10.238999999999999,,,,,,,,1,0,True,True,False,False,True
1980-01-06,0.183726849,-2.869073118,2.9,0.0,6.827000000000001,,,,,,,,0,0,False,False,False,False,True
1980-01-07,0.160352988,-3.917979823,2.9,0.0,3.497,,,,,,,,0,0,False,False,False,False,True
1980-01-08,0.226205545,-5.923564525,2.1,0.0,2.602,,,,,,,,0,0,False,True,False,False,True
1980-01-09,0.089524924,-5.5042711639999995,2.9,0.0,2.439,,,,,,,,0,0,False,False,False,False,True
1980-01-10,0.0,-5.682777896,2.9,0.0,2.359,,,,,,,,0,0,False,False,False,False,True
1980-01-11,0.133819725,-7.7214109529999995,1.0,0.0,2.228,,,,,,,,0,0,True,True,False,False,True
1980-01-12,0.0,-10.009180800000001,1.2,0.0,2.126,,,,,,,,0,0,True,True,False,False,True
1980-01-13,0.0,-2.288872706,5.1,0.0,2.016,,,,,,,,0,0,False,False,True,True,True
1980-01-14,0.0,-1.4365806369999998,3.9,0.0,1.975,,,,,,,,0,0,False,False,True,False,True
1980-01-15,0.0,-3.9815772060000003,1.3,0.0,1.93,,,,,,,,0,0,True,True,False,False,True
1980-01-16,0.0,-5.640795736,1.9,0.0,1.781,,,,,,,,0,0,True,True,False,False,True
1980-01-17,0.0,-6.249811241000001,0.8,0.0,2.0669999999999997,,,,,,,,0,0,True,True,False,False,True
1980-01-18,0.569766845,-5.255806998,0.3,0.0,,,,,,,,,0,0,True,True,False,False,True
1980-01-19,0.45690120799999995,-1.804856204,0.0,0.0,,,,,,,,,0,0,True,True,False,False,True
1980-01-20,0.061011523,-2.245475113,1.5,0.0,,,,,,,,,0,0,True,True,False,False,True
1980-01-21,0.621496976,-1.482190394,2.9,0.0,,,,,,,,,0,0,False,False,False,False,True
1980-01-22,8.96548801,-0.296365807,3.8,0.0,,,,,,,,,1,0,False,False,False,False,True
1980-01-23,1.3554377930000001,-0.901513679,2.1,0.0,,,,,,,,,1,0,False,True,False,False,True
1980-01-24,0.0,-6.9408022229999995,4.6,0.0,,,,,,,,,0,0,False,False,True,False,True
1980-01-25,0.0,-14.77347574,3.6,0.0,,,,,,,,,0,0,False,False,False,False,True
1980-01-26,0.0,-14.29521288,0.8,0.0,,,,,,,,,0,0,True,True,False,False,True
1980-01-27,0.0,-11.49755332,0.9,0.0,,,,,,,,,0,0,True,True,False,False,True
1980-01-28,0.650398654,-8.844456961,2.2,0.0,,,,,,,,,0,0,False,True,False,False,True
1980-01-29,0.0,-10.07547222,0.5,0.0,,,,,,,,,0,0,True,True,False,False,True
1980-01-30,2.75600086,-9.707845595,5.2,0.0,,,,,,,,,1,0,False,False,True,True,True
1980-01-31,0.419189692,-13.02017111,3.9,0.0,,,,,,,,,0,0,False,False,True,False,True
1980-02-01,0.0,-17.76508873,1.2,0.0,,,,,,,,,0,0,True,True,False,False,True
1980-02-02,0.0,-17.33683982,0.5,0.0,,,,,,,,,0,0,True,True,False,False,True
1980-02-03,0.0,-17.39816945,0.8,0.0,,,,,,,,,0,0,True,True,False,False,True
1980-02-04,0.0,-18.77502252,0.7,0.0,,,,,,,,,0,0,True,True,False,False,True
1980-02-05,0.0,-16.85391077,2.4,0.0,,,,,,,,,0,0,False,True,False,False,True
