var,model,pearsons_cc,spearman_cc,mae,rmse,bias,mape,mathews_cc,roc_auc_score,classification_error
TP,sim_era5,0.642,0.652,3.004,3.669,-0.047,1.664,0.356,0.675,0.316
TP,sim_naive,0.636,0.639,3.422,4.387,0.488,2.625,0.180,0.591,0.405
TP,sim_era5_av,0.642,0.652,3.004,3.669,-0.047,1.664,0.356,0.675,0.316
chla,sim_era5,0.643,0.606,3.307,4.216,-0.075,8.122,0.298,0.614,0.237
chla,sim_naive,0.648,0.631,3.614,4.600,0.058,5.054,0.706,0.853,0.108
chla,sim_era5_av,0.599,0.570,3.521,4.409,-0.063,9.519,0.298,0.614,0.237
colour,sim_era5,0.854,0.863,6.723,8.629,-0.466,3.196,0.450,0.721,0.250
colour,sim_naive,0.849,0.843,7.295,9.208,0.845,5.533,0.551,0.780,0.212
colour,sim_era5_av,0.838,0.848,7.126,9.093,-0.380,5.287,0.450,0.721,0.250
cyano,sim_era5,0.525,0.688,1.112,1.792,-0.765,18.678,0.753,0.878,0.125
cyano,sim_naive,0.563,0.715,1.192,1.760,0.183,76.168,0.565,0.785,0.217
cyano,sim_era5_av,0.624,0.745,1.076,1.768,-0.836,21.757,0.753,0.878,0.125
