,Pptn,Temp,Q,TP_catch,colour_lake,chl-a_lake,TP_lake,PTI,Biovolume,CyanoBiovol,rel_res_time,TP_flux,Rain_day,Pptn_intense,Season,status_TP_lake,status_chl-a_lake,status_CyanoBiovol
1984-09-30,225.0555722902992,13.347870146551895,1.5020909090909091,96.6,23.4375,3.911666666666667,15.045,,,,1.07533005637349,1252.1902254910808,59,8,aut,HG,HG,
1984-12-31,334.7611501807505,3.4348599540181404,9.851595505617977,208.77894736842103,,3.9499999999999997,36.425,,,,0.12690050588818605,18547.624607451427,80,17,wint,M,HG,
1985-03-31,152.25371651419695,-7.80591199449021,3.4162183908045964,92.725,,,,,,,1.1015690831256617,1292.540655908572,62,5,spr,,,
1985-06-30,186.35439558711326,8.521306204494676,8.40433707865168,117.85185185185183,38.54166666666667,3.6500000000000004,25.65833333333333,,,,0.33806310148709784,9421.28230965943,63,4,summ,M,HG,
1985-09-30,397.67585462345784,12.231564532384525,7.114977272727273,105.82857142857142,36.08333333333333,6.325,24.5,,,,0.19406010103161614,7007.157972329143,82,17,aut,M,HG,
1985-12-31,198.52111462457324,-1.2808914151040787,5.324540229885058,274.575,42.5,2.9,20.6,,,,0.2347006714355472,8436.199682947323,79,9,wint,M,HG,
1986-03-31,173.98551370820167,-6.32952590888749,,87.9,,,,,,,,0.0,56,6,spr,,,
1986-06-30,128.52989776993311,8.969121410539683,,171.32222222222222,38.0,2.8,25.950000000000006,,,,,0.0,46,6,summ,M,HG,
1986-09-30,207.4010767001552,11.527295189846507,,115.89999999999999,31.85,5.621666666666667,28.9,,,,,0.0,71,9,aut,M,HG,
1986-12-31,317.0967657306187,2.282956666858823,,128.21666666666664,,,,,,,,0.0,79,16,wint,,,
1987-03-31,157.19674497305687,-8.544118172277663,,58.35,,,,,,,,0.0,49,5,spr,,,
1987-06-30,211.60430121681966,7.78179724173347,,82.52413793103447,32.5,4.4,22.45,,,,,0.0,60,6,summ,M,HG,
1987-09-30,270.70969163206826,11.850945946973994,,94.91764705882352,27.75,5.825,16.950000000000003,,,,,0.0,74,14,aut,HG,HG,
1987-12-31,385.7322796485184,1.1921676746583743,,153.3111111111111,,,,,,,,0.0,80,12,wint,,,
1988-03-31,367.43251142338954,-1.4658695534103885,,133.19375000000002,,,,,,,,0.0,83,16,spr,,,
1988-06-30,136.12469026258034,9.988942854057303,,49.115999999999985,32.5,8.649999999999999,30.05,2.25211973742493,0.745467251081021,0.012337099909782401,,0.0,49,6,summ,M,HG,HG
1988-09-30,464.3813068256888,13.450023894475017,,56.54,35.0,7.766666666666666,21.2,2.4334120889893054,1.1309375147037184,0.0748144999742508,,0.0,78,21,aut,M,HG,HG
1988-12-31,169.6019965409081,-0.5025612758179714,,41.09411764705882,,,,,,,,0.0,71,6,wint,,,
1989-03-31,193.2786150401177,2.521607463618889,,87.23333333333332,,,,,,,,0.0,63,10,spr,,,
1989-06-30,167.15769792488663,9.37914044666263,,43.02857142857142,37.333333333333336,5.333333333333333,31.599999999999998,,,,,0.0,47,9,summ,M,HG,
1989-09-30,245.6222766510873,12.959801685455716,,65.32000000000001,24.25,6.2,19.3,,,,,0.0,68,10,aut,HG,HG,
1989-12-31,192.81019917636291,1.4996907223829188,,35.480000000000004,,,,,,,,0.0,69,5,wint,,,
1990-03-31,300.3793343560698,2.750681638190282,,236.85789473684213,,4.1,56.3,,,,,0.0,65,10,spr,PB,HG,
1990-06-30,175.6140449180863,10.303126482755468,,48.07857142857143,30.666666666666668,6.6000000000000005,32.1,,,,,0.0,57,6,summ,M,HG,
1990-09-30,211.62985226449393,13.124475266175399,,83.57692307692308,24.0,6.2749999999999995,16.575,,,,,0.0,69,10,aut,HG,HG,
1990-12-31,235.33268691085357,0.9059987957443111,,62.599999999999994,,,,,,,,0.0,72,11,wint,,,
1991-03-31,167.76352792531145,-2.3668839009042126,,122.60909090909091,,,,,,,,0.0,73,9,spr,,,
1991-06-30,129.44322238201943,8.413390474950242,,37.39,23.25,3.75,17.7,,,,,0.0,58,2,summ,HG,HG,
1991-09-30,228.79970514707708,14.362834949086801,,35.2375,18.666666666666668,5.7,14.566666666666668,,,,,0.0,65,10,aut,HG,HG,
1991-12-31,266.5725224463146,2.7127908914444028,,86.12,23.0,4.7,17.6,,,,,0.0,74,14,wint,HG,HG,
1992-03-31,117.29893715323998,0.3493148237156516,,146.93,,,,,,,,0.0,69,3,spr,,,
1992-06-30,128.94950795019855,10.820783864520743,,41.41428571428571,30.666666666666668,5.533333333333334,18.5,,,,,0.0,52,7,summ,HG,HG,
1992-09-30,279.95254328940223,13.141317144508884,,56.69,21.25,6.999999999999999,15.700000000000001,,,,,0.0,75,12,aut,HG,HG,
1992-12-31,290.62773655894733,0.6917127434110035,,193.62307692307692,,,,,,,,0.0,80,14,wint,,,
1993-03-31,105.33199231626743,-0.6962257255082629,,259.3,,,,,,,,0.0,50,6,spr,,,
1993-06-30,143.1456391398689,10.043810981066825,,40.27777777777778,35.333333333333336,5.8999999999999995,20.6,,,,,0.0,43,5,summ,M,HG,
1993-09-30,236.4447619614805,11.258050610797733,,43.22727272727273,22.5,6.15,12.625000000000002,,,,,0.0,71,10,aut,HG,HG,
1993-12-31,341.9608834284791,-0.24963335628467576,5.330333333333334,49.563636363636355,,,,,,,0.2443954414393301,1338.5823639731093,81,16,wint,,,
1994-03-31,213.05414183994571,-4.911979733887619,3.529715909090909,67.66666666666667,,,,,,,0.5857202167757064,1995.497884073949,74,11,spr,,,
1994-06-30,104.49935178716926,9.470595550127964,6.562117647058825,67.625,38.0,4.6,19.6,,,,2.926102249465693,4899.913553393407,48,4,summ,HG,HG,
1994-09-30,266.39647757063415,14.492834151462247,2.4485444444444444,63.3,25.25,7.1000000000000005,13.600000000000001,,,,10.156638374315985,1442.1111245896834,58,12,aut,HG,HG,
1994-12-31,246.67208704670475,2.1003862354257037,6.165622222222223,102.0,,,,,,,0.5012480060547659,5390.704756787585,77,8,wint,,,
1995-03-31,270.2238689261284,-1.2548635140948439,9.139459770114945,151.70000000000002,,,,,,,0.14699356264964694,16806.484670298923,81,11,spr,,,
1995-06-30,206.1426420424135,8.868210815143696,6.819127906976746,87.15,34.0,12.9,39.8,,,,0.24600889903210288,4373.06293622385,76,8,summ,PB,M,
1995-09-30,220.5909116280063,14.255758406987113,0.6646777777777779,63.911111111111104,28.0,8.440000000000001,19.580000000000002,,,,2.361070748157082,409.7158335223994,78,8,aut,HG,HG,
1995-12-31,112.35663647251909,-0.1028890117359189,3.1503707865168535,36.72,,,,,,,0.4167965441239142,938.7331999412639,82,3,wint,,,
1996-03-31,71.02124197553599,-4.996586883757944,0.31703370786516877,48.81428571428571,,,,,,,3.6673244003646968,72.37824373928572,68,2,spr,,,
1996-06-30,166.34778247692373,8.367004177373142,4.566944444444443,191.2153846153846,24.0,5.6,15.7,,,,0.37844615818738,8140.880000211431,78,5,summ,HG,HG,
1996-09-30,180.013706431065,13.539226496141346,0.6164,77.32307692307691,19.0,7.159999999999999,15.7,,,,2.718576965959418,520.8444164571428,69,9,aut,HG,HG,
1996-12-31,307.9425270685218,0.8333757612363165,9.590184782608695,138.58,,,,,,,0.16364020139435204,11632.823000228565,83,16,wint,,,
1997-03-31,127.98031893332914,-0.9462652567232257,3.1849775280898878,74.70833333333333,,,,,,,0.9212763710401343,2535.6100579199997,80,6,spr,,,
1997-06-30,144.64373684057935,9.403679489771898,2.387523809523809,37.528571428571425,33.0,10.8,20.0,,,,0.7833357249058611,620.8684636114285,81,7,summ,M,M,
1997-09-30,201.0159556323628,16.22231365407967,0.6537499999999999,53.6923076923077,20.25,8.3,14.674999999999999,,,,2.93340280556688,342.27167307428573,77,11,aut,HG,HG,
1997-12-31,228.16138232970826,1.153536386983075,4.578528089887639,50.05454545454545,,,,,,,0.32048173233718946,2279.6755282285717,82,8,wint,,,
1998-03-31,138.15253958908792,-0.2581845726647095,5.011942528735632,58.16153846153846,,,,,,,0.27568666846593703,2442.609538971427,67,6,spr,,,
1998-06-30,250.5886603679717,8.954063697813341,4.980712643678158,56.35384615384616,,9.65,24.799999999999997,,,,0.47170052812009217,3050.195830971428,75,13,summ,M,HG,
1998-09-30,258.6343284252239,13.144550720110464,2.9239294117647066,61.78461538461538,,7.275,18.125,,,,0.7714022544517364,2117.8123969371427,86,7,aut,HG,HG,
1998-12-31,227.98710774801987,0.6981392353458749,5.269813186813187,108.93076923076923,,,,,,,0.29734269835822297,5447.267966057145,83,13,wint,,,
1999-03-31,312.17072287488634,-1.9468929184419532,8.271269662921348,119.7909090909091,,,,,,,0.3126475968295475,11062.519112468572,81,13,spr,,,
1999-06-30,302.41160340699616,9.073941534475535,8.955215909090908,64.96153846153845,,,,,,,0.24697253310178227,6709.797342514286,71,14,summ,,,
1999-09-30,287.67519466296227,14.768400217192829,3.4508876404494377,115.94615384615385,,,,,,,1.3576558668164225,9231.942097645715,69,11,aut,,,
1999-12-31,312.5580292436038,2.0759594315445726,7.799788888888893,150.73846153846154,,,,,,,0.22534881296974862,12011.564009005713,76,15,wint,,,
2000-03-31,144.79764921954165,-0.2041964075801131,5.045170454545454,96.76923076923077,,,,,,,0.26374198525881104,3805.4676713142853,68,4,spr,,,
2000-06-30,232.39050677791974,9.920379431239631,4.5415113636363635,71.76923076923077,43.0,8.8,28.5,,1.036,0.034,0.4812900739342832,4170.582886628571,75,8,summ,M,HG,HG
2000-09-30,241.1057583720398,13.055675857202756,1.2633181818181816,48.92307692307692,31.75,9.850000000000001,26.5,,0.73925,0.10650000000000001,1.0571976288930467,483.6547090285716,83,10,aut,M,HG,HG
2000-12-31,674.2469681756868,4.9365571313047285,20.901615384615386,137.66666666666666,,,,,,,0.10731843596388778,27823.705431428574,87,30,wint,,,
2001-03-31,217.82461206891244,-3.983026521406196,4.840909090909091,55.285714285714285,,,,,,,0.3792700569244261,2130.8095033714285,65,10,spr,,,
2001-06-30,201.31338048934765,9.36503620673411,6.807600000000001,87.66666666666667,,8.05,30.5,,0.528,0.0295,0.40356171608142893,6371.145794436924,57,9,summ,M,HG,HG
2001-09-30,303.0776082173537,14.131491016294309,1.969590909090909,61.666666666666664,,14.95,19.0,,1.22925,0.14225,0.9136558348336031,847.7678221714284,80,14,aut,HG,M,HG
2001-12-31,206.3400456315637,1.8824857925267942,5.530034090909087,73.33333333333333,,,,,,,0.25115005346980196,3182.9095871683508,81,7,wint,,,
2002-03-31,201.13327619947336,-0.4452559601748419,5.546022727272729,53.285714285714285,,,,,,,0.3556018578759584,2285.2697049494504,81,8,spr,,,
2002-06-30,216.3277482115681,10.987093286495982,3.1886931818181807,32.0,,8.0,16.0,,0.762,0.1075,0.41550028848990744,756.6883829485716,74,8,summ,HG,HG,HG
2002-09-30,246.5286674874398,15.639300712489872,2.9427764705882358,52.42857142857143,,9.0,25.5,,0.76275,0.0765,1.2833025334832193,1532.526720843956,73,12,aut,M,HG,HG
2002-12-31,268.2526106633768,-2.224262126836474,4.542888888888889,36.6,,,,,,,1.0200945758461837,972.4029017161475,74,13,wint,,,
2003-03-31,143.96867234421669,-2.5718500543764624,6.33793220338983,64.16666666666667,,,,,,,0.4954660606694586,2593.7815567462185,63,5,spr,,,
2003-06-30,249.68148889567956,9.68856394784017,6.055345679012347,61.5,,7.75,20.0,,0.826,0.059,0.31255792453633324,3626.5248965591195,67,8,summ,M,HG,HG
2003-09-30,197.33007081690724,15.372315794519764,0.8003846153846156,58.0,,8.5,16.833333333333332,,0.8922000000000001,0.1296,1.6674639640087197,286.33714148571426,74,8,aut,HG,HG,HG
2003-12-31,194.04638558797294,1.6158393309873251,4.07838888888889,107.0,,,,,,,0.7681234409768879,3259.1031664261227,77,6,wint,,,
2004-03-31,188.7272619645338,-1.9956882732716101,4.875786666666669,,,,,,,,0.4560388572969186,168.5753891265306,74,7,spr,,,
2004-06-30,183.95012813441767,10.37401011973308,2.7148095238095244,,,12.05,15.0,,0.5385,0.137,1.1691325416605882,0.0,67,6,summ,HG,M,HG
2004-09-30,295.7220149732299,14.212468541169278,2.7301265822784813,,,8.975,15.5,,1.0890000000000002,0.2815,1.7589516530633873,0.0,76,13,aut,HG,HG,HG
2004-12-31,269.85037094546766,2.1629519303340015,6.547263157894739,,,,,,,,0.20585011391915603,0.0,86,11,wint,,,
2005-03-31,112.52497212156698,-0.7197700628512974,3.456535714285713,63.0,,,,,,,0.698219844142175,908.4706293837362,67,3,spr,,,
2005-06-30,164.42856633426354,9.512529631377777,2.355703296703297,44.166666666666664,51.04285714285714,5.263636363636365,23.363636363636363,,,,0.6753432727630128,1056.3881368414118,66,7,summ,M,HG,
2005-09-30,249.9673164484714,14.988123798900531,1.1628888888888886,33.0,33.111111111111114,6.88076923076923,15.884615384615385,,,,1.501106619345149,286.13498811428576,77,10,aut,HG,HG,
2005-12-31,263.9079126359207,3.0442299156222203,6.081569767441859,49.5,35.6,7.35,17.5,,,,0.27830864225102026,2522.4971327999983,86,8,wint,HG,HG,
2006-03-31,182.7814801057287,-4.5340099213157155,1.9077971014492754,38.5,56.5,0.62,21.0,,,,0.7383412648000268,600.3101417142858,77,10,spr,M,HG,
2006-06-30,211.94951855742528,10.027527598177763,7.667120879120879,73.33333333333333,53.8875,5.7333333333333325,21.666666666666668,,,,0.5346339116509938,3768.0034052571423,58,11,summ,M,HG,
2006-09-30,251.37032608845055,16.773482987745048,0.924532608695652,,34.714285714285715,8.907692307692308,14.0,,,,2.7071696818810698,0.0,67,11,aut,HG,HG,
2006-12-31,481.64727132960167,5.110553677559377,15.371511904761906,239.25,,3.75,16.0,,,,0.11958452621811512,9120.195319679999,88,21,wint,HG,HG,
2007-03-31,179.37898695446398,-0.2514728607759695,6.560088888888888,50.125,,,,,,,0.417081950022422,3370.2422162493513,84,7,spr,,,
2007-06-30,241.68016039400874,11.084137479665129,2.865736263736264,107.55,72.21428571428571,5.104166666666667,28.416666666666668,2.5343908471628347,0.8494678488333333,0.16931198333333333,0.4652842237965178,2377.6533424562645,59,9,summ,M,HG,HG
2007-09-30,324.67206777530055,14.023542550351488,3.87413043478261,106.2,64.80000000000001,10.155384615384614,22.0,2.7845891611531393,2.4164073050000003,0.45910379,0.8158255018438878,2811.0134311912093,75,10,aut,M,HG,HG
2007-12-31,228.9007736802458,2.2534185501503097,5.629869565217391,127.42857142857143,61.9,5.400000000000001,23.333333333333332,3.04137244040712,1.030768836,0.0091,0.5474266632031567,6326.207385768794,86,11,wint,M,HG,HG
2008-03-31,344.22132754093366,1.1750294638694123,11.630142857142857,210.1,,,,,,,0.14652460784448823,16024.59618685164,84,14,spr,,,
2008-06-30,182.4047103696411,10.87620622052311,3.489120879120879,68.2,85.53333333333335,4.8500000000000005,39.083333333333336,2.414922030694034,0.8538541214285714,0.02556290714285714,1.0040990077925915,7430.074574305053,53,9,summ,PB,HG,HG
2008-09-30,302.09156807263753,14.248128821330468,3.230836956521739,59.642857142857146,55.385714285714286,9.392307692307693,23.153846153846153,2.5025122151910657,1.9578321821428568,0.1724688857142857,0.6053112643616625,1828.246909371428,66,13,aut,M,HG,HG
2008-12-31,290.2655000000054,2.3802460689152922,8.399467391304352,58.27272727272727,98.3,3.3499999999999996,33.0,2.53069662089271,0.491185475,0.0739795,0.1761369970475985,4914.3197257807815,80,12,wint,M,HG,HG
2009-03-31,176.4625977307226,-2.5446493585589502,2.587122222222222,35.833333333333336,,,,,,,0.5325190967128844,761.4863880052749,70,7,spr,,,
2009-06-30,111.60905383038798,11.16498877214431,6.423274725274728,56.15384615384615,62.15999999999999,6.288888888888888,25.0,2.246325327676965,0.87353129125,0.021567500000000003,1.1640475599664029,6836.578828219782,59,5,summ,M,HG,HG
2009-09-30,357.285602088209,14.828287795698852,3.7892967032967033,48.583333333333336,51.03333333333333,7.584615384615385,20.615384615384617,2.6004525076347256,1.4650239524999997,0.20369801521428574,1.1133447463960717,1779.020185062857,80,14,aut,M,HG,HG
2009-12-31,293.2015511769499,0.7220730509375717,6.561739130434785,84.3076923076923,59.2,9.2,23.5,2.88902357738134,2.7773708531000003,0.1040926581,0.3652566732594017,5420.184409645714,88,14,wint,M,HG,HG
2010-03-31,117.08646381429554,-6.381003599740219,2.688366666666667,109.57142857142857,,2.6,30.0,,,,1.5993631795833172,1944.353916,80,3,spr,M,HG,
2010-06-30,161.84605436077567,9.738374999972757,6.245112359550565,74.42857142857143,68.26,5.160000000000001,23.6,2.59489336221413,0.45216577,0.0273511,0.4414738903344705,6178.597885782858,63,4,summ,M,HG,HG
2010-09-30,336.78526431527945,14.329906609343336,4.126021739130434,95.38461538461539,58.31428571428571,6.483333333333334,19.333333333333332,2.7679264481561687,0.97679835,0.09979175000000001,0.7729260373128006,3642.709885048952,80,14,aut,HG,HG,HG
2010-12-31,158.24916773389785,-2.9640669014849075,4.062967391304346,90.08333333333333,68.5,2.7,25.5,2.84897580108085,0.25391185,0.01772,0.6560618790577735,3510.927268662856,84,5,wint,M,HG,HG
2011-03-31,137.72913789206243,-3.5837081218338005,1.0921111111111113,71.83333333333333,,,,,,,1.966710262587214,666.8487648000001,71,6,spr,,,
2011-06-30,233.40220389620123,11.239534838431336,8.238164705882355,57.733333333333334,69.34,8.360000000000001,24.6,2.5090167362449156,0.94744937,0.0117886,0.37569254640741734,4929.286471302859,61,9,summ,M,HG,HG
2011-09-30,454.0958477672768,14.85804199661249,9.080218390804596,82.83333333333333,65.61428571428571,6.253846153846154,22.153846153846153,2.7766489491467596,0.6249952833333333,0.05943516666666667,0.24139167630259495,8391.255782708573,85,21,aut,M,HG,HG
2011-12-31,259.5769000404432,4.1932404357995035,8.0886625,58.30769230769231,96.2,2.766666666666666,32.333333333333336,3.11406980777898,0.5062671,0.01407,0.2091384346152291,3873.804217714285,84,13,wint,M,HG,HG
2012-03-31,91.16882932056663,-0.34809300285617956,6.836368421052631,40.583333333333336,,,,,,,0.2142003583118097,391.2769645714285,63,3,spr,,,
2012-06-30,260.96696386704326,9.402045517620227,2.330717948717949,63.333333333333336,80.02000000000001,4.845454545454546,28.0,2.5437889878004,0.3961869,0.0037155,0.5491766393141724,350.3446428342857,74,13,summ,M,HG,HG
2012-09-30,314.20230182519435,13.803158687755836,4.6932282608695655,58.46153846153846,60.642857142857146,8.207692307692309,20.692307692307693,2.817574064203911,1.5706249499999998,0.18610960714285713,0.3775201059139517,2222.2514946514284,86,10,aut,M,HG,HG
2012-12-31,354.6280699299753,0.6698633417646052,10.458923076923075,67.16666666666667,68.9,3.55,23.0,2.69568556174077,0.30375,0.02834,0.20281745346098393,5434.057900491425,83,16,wint,M,HG,HG
2013-03-31,61.05454536231898,-4.433096420308646,2.2234545454545445,47.6,,,,,,,1.4587522780579554,881.827541485714,58,1,spr,,,
2013-06-30,301.3781733948309,9.896613602342509,7.798219780219778,191.375,80.1,7.24,24.4,2.3956644222518677,0.5460738372,0.07640506999999999,0.22123496324258723,10585.688965714284,72,13,summ,M,HG,HG
2013-09-30,165.0915187003158,14.618596109791008,1.4034938271604942,43.0,57.2,11.666666666666666,15.89285714285714,2.7518606752143517,1.5202733268571424,0.7146374957142857,1.6539165000823586,330.94216860131854,85,6,aut,HG,M,HG
2013-12-31,356.4175369215764,3.813186669470317,8.132532608695653,86.44444444444444,57.3,3.8,16.55,2.77434358345243,0.418559029,0.03888169,0.4597231833725438,7368.938585213826,80,14,wint,HG,HG,HG
2014-03-31,298.0800257575923,0.8336484122799618,11.989954545454543,58.2,,,,,,,0.19076766830800887,8366.246438752445,79,14,spr,,,
2014-06-30,174.07818659955717,10.910393545895282,2.230571428571429,62.875,60.54,7.519999999999999,19.54,2.452143486746202,0.7954200094000001,0.1314144058,0.9681966406332166,1322.0721080901105,57,7,summ,HG,HG,HG
2014-09-30,269.2313433400816,15.698107456010101,1.3745760869565222,59.625,40.75714285714285,8.528571428571428,14.849999999999998,2.535923747095023,1.054914709142857,0.18218364257142855,2.1608260149973573,920.944775314286,73,11,aut,HG,HG,HG
2014-12-31,452.113543159278,3.470523455197657,12.94694565217392,106.28571428571429,,3.7,17.75,2.96875336436595,0.477006305,0.06743581500000001,0.2674046844922984,9678.827751286151,86,18,wint,HG,HG,HG
2015-03-31,271.3469739331808,0.9711042094612115,8.877133333333333,60.666666666666664,,,,,,,0.18156497557436754,3834.407014015462,73,11,spr,,,
2015-06-30,210.2640727408683,9.384588965557825,4.202032967032967,66.75,60.666666666666664,5.619999999999999,24.06,2.638065602079314,1.1931172824,0.094491002,0.3838631161860159,2716.52477220923,64,10,summ,M,HG,HG
2015-09-30,469.38711545697186,14.185524257454194,7.19691304347826,87.0,53.666666666666664,7.0,22.571428571428573,2.6816479859532296,1.1172547085714286,0.0847688647142857,0.5597375468031911,8201.413804971426,79,18,aut,M,HG,HG
2015-12-31,195.27742631115078,4.114940005553137,5.037695652173914,105.83333333333333,75.0,2.0,31.0,2.81983706056498,0.492005216,0.0089003,0.46836819213506664,5449.343764699782,81,8,wint,M,HG,HG
2016-03-31,202.93865374808686,-2.2222227457062558,6.8483956043956065,86.0,,,,,,,0.2836580698298035,5833.981123320047,74,7,spr,,,
2016-06-30,209.45739735756817,10.861147964652774,3.7383406593406603,39.666666666666664,62.333333333333336,4.640000000000001,27.0,2.4849979471466837,0.8062463632,0.047201370000000006,0.930073845246811,1482.9215112791203,67,10,summ,M,HG,HG
2016-09-30,238.95896382366905,15.046933525215787,0.9763260869565215,62.857142857142854,59.5,7.8,19.099999999999998,2.5449813308912,1.3292996504285715,0.11067246399999998,1.4812665884468543,486.62507026285704,72,11,aut,HG,HG,HG
2016-12-31,137.79716229927925,2.218693451075655,2.6080326086956522,67.0,69.0,3.2,13.95,3.01460320597291,0.442895191,0.039752,1.2166706015767332,1296.2272958376495,66,7,wint,HG,HG,HG
2017-03-31,161.602461196845,-0.48040578127610856,4.267488888888888,109.66666666666667,,,,,,,0.46042919460922455,4689.013714090932,66,6,spr,,,
2017-06-30,182.11630387953105,9.828560064418351,3.482538461538461,26.666666666666668,,6.88,,2.413784263847788,0.7078860436,0.06255908800000001,0.3865280129427982,764.9441680035164,65,7,summ,,HG,HG
2017-09-30,305.7308235071278,13.892637284707666,3.469967391304348,70.0,,6.7857142857142865,,2.62166136465683,0.6835926114285714,0.07668673857142858,1.15447192353664,3973.1766981942856,75,11,aut,,HG,HG
2017-12-31,330.5814214435443,2.235831531921905,7.676902173913042,114.2,,3.3,,2.88854532343816,0.5534811590000001,0.0207378,0.18677856821437325,7060.7214879807525,83,13,wint,,HG,HG
2018-03-31,170.77747142760646,-3.498405861251724,3.781044444444445,,,,,,,,0.4629546635363494,193.453056,76,5,spr,,,
2018-06-30,114.38714028101965,12.242021579371476,5.8756333333333375,,,,,2.41664033530081,0.6234704227999998,0.016631395,1.5999424540707798,0.0,49,3,summ,,,HG
