var,model,pearsons_cc,spearman_cc,mae,rmse,bias,mape,mathews_cc,roc_auc_score,classification_error
TP,sim_naive,0.841,0.834,2.816,3.334,0.180,1.446,0.633,0.817,0.182
TP,sim_metno,0.872,0.835,2.756,3.427,-0.179,1.808,0.636,0.818,0.182
TP,sim_nomet,0.872,0.840,2.765,3.443,-0.197,1.764,0.636,0.818,0.182
chla,sim_naive,0.582,0.653,3.699,4.836,0.362,5.369,0.716,0.866,0.136
chla,sim_metno,0.681,0.688,3.391,4.012,-1.007,-1.888,0.211,0.590,0.364
chla,sim_nomet,0.656,0.689,3.190,4.158,-1.118,-2.380,0.087,0.534,0.409
colour,sim_naive,0.710,0.574,8.991,10.751,0.466,4.105,0.354,0.675,0.318
colour,sim_metno,0.739,0.605,8.036,10.016,-1.677,0.087,0.092,0.547,0.455
colour,sim_nomet,0.696,0.567,8.690,10.772,-1.890,0.036,0.169,0.585,0.409
cyano,sim_naive,0.563,0.715,1.192,1.760,0.183,76.168,0.565,0.785,0.217
cyano,sim_metno,0.593,0.717,1.094,1.790,-0.820,24.777,0.742,0.871,0.130
cyano,sim_nomet,0.608,0.742,1.067,1.757,-0.806,19.610,0.742,0.871,0.130
